nombre_ascii,tipo,rango_o_categorias,procedencia,capas,acceso,transformacion,uso,publicabilidad
"respuesta_abierta","string nullable","0..1000 caracteres Unicode","Campo opcional final","bruta; restringida","custodio y analista de texto autorizado","Normalizar copia de trabajo; clasificar por Regex; revisar posibles datos personales","Generar categoria_motivo y control cualitativo","NO: texto libre potencialmente identificable"
"inicio_utc","datetime nullable","ISO 8601 UTC exacto","Servidor al crear el registro","bruta; restringida","custodio","Conservar exacto solo en restringida","Auditoria de sesion","NO: timestamp exacto"
"primera_render_utc","datetime nullable","ISO 8601 UTC exacto","Servidor o cliente validado al renderizar pantalla 1","bruta; restringida","custodio","Usar para auditoria; no exportar","Control tecnico del primer tiempo","NO: timestamp exacto"
"segunda_render_utc","datetime nullable","ISO 8601 UTC exacto","Servidor o cliente validado al renderizar pantalla 2","bruta; restringida","custodio","Usar para auditoria; no exportar","Control tecnico del segundo tiempo","NO: timestamp exacto"
"fin_utc","datetime nullable","ISO 8601 UTC exacto","Servidor tras escritura final","bruta; restringida","custodio","Conservar exacto solo en restringida","Auditoria de completitud y redireccion","NO: timestamp exacto"
"diferencia_platano_menos_naranja","integer","-100; -80; -60; -40; -20; 0; 20; 40; 60; 80; 100","Derivada de las dos velocidades","analitica; publica sintetica","equipo analitico; publico si sintetico","velocidad_platano_kmh menos velocidad_naranja_kmh","Resultado secundario dentro del sujeto","SI solo sintetico_docente"
"categoria_motivo","array de strings","forma; color; fisica; cultura; contraste; azar; sin_clasificar; lista vacia","Derivada de respuesta_abierta","analitica; publica sintetica","equipo analitico; publico si sintetico","Normalizacion Unicode y Regex congeladas; multietiqueta unica y ordenada","Resumen exploratorio sin publicar texto","SI solo sintetico_docente"
"incluida","boolean","true; false","Derivada por pipeline","analitica; publica sintetica","equipo analitico; publico si sintetico","false si cualquier tiempo es menor que 2.0 o aplica otra regla cerrada","Seleccion del conjunto confirmatorio","SI solo sintetico_docente"
"motivo_exclusion","string nullable","tiempo_primera_menor_2; tiempo_segunda_menor_2; tiempos_ambos_menor_2; incompleto; duplicado_posterior; null","Derivada por pipeline","analitica; publica sintetica","equipo analitico; publico si sintetico","Aplicar reglas en prioridad: duplicado; incompleto; ambos tiempos; primera; segunda","Auditoria de exclusiones","SI solo sintetico_docente"
"origen_dato","string","sintetico_docente","Generador y pipeline","bruta; restringida; analitica; publica","todos","Asignar como constante y validar antes de exportar","Impedir confundir simulacion con observacion real","SI; obligatorio y constante"
"version_app","string","SemVer con sufijo opcional; por ejemplo 1.0.0-demo","Configuracion de despliegue","bruta; restringida; analitica; publica sintetica","segun capa","Copiar sin editar desde la aplicacion","Trazabilidad de captura","SI solo sintetico_docente"
"pareja_id","string","Identificador aleatorio de pareja; no derivado del participante","Proceso posterior al cierre","restringida","custodio y responsable de pagos","Generar tras cerrar muestra; almacenar en mapa separado","Emparejamiento y errores agrupados","NO: variable de bonificacion"
"simbolo_bonificacion","string","naranja; platano","Sorteo por pareja posterior al cierre","restringida","custodio y responsable de pagos","Asignar una fruta por pareja con semilla congelada","Seleccionar respuesta pagable","NO: variable de bonificacion"
"confianza_seleccionada","integer","0–100","Respuesta de confianza correspondiente a simbolo_bonificacion","restringida","custodio; analisis autorizado temporal","Seleccionar confianza_naranja o confianza_platano segun simbolo_bonificacion","Regresion logistica de coincidencia","NO: variable restringida de bonificacion"
"coincide_pareja","boolean","true; false","Comparacion exacta dentro de pareja","restringida","custodio; analisis autorizado temporal","Comparar la misma categoria para simbolo_bonificacion","Calcular bonificacion y calibracion agregada","NO: variable de bonificacion"
"importe_bonificacion_eur","number","0.00; 0.50","Derivada de coincide_pareja","restringida","responsable de pagos","0.50 si coincide; 0.00 si no","Orden de pago adicional","NO: dato economico individual"
"estado_pago","string","pendiente; enviado; error; no_corresponde","Sistema de pagos o registro local","restringida","responsable de pagos","Actualizar con traza; nunca usar para inclusion","Conciliacion de pagos","NO: dato economico individual"
